ts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2014-08-23 07:30:00,0.3275,0.3295,0.3195,0.2942,0.2758,0.2758,0.2614,0.238,0.2325,0.2239,0.2229,0.2119,0.1907,0.1602,0.1243,0.1153,0.1168,0.0979,0.0739,0.0655,0.0595,0.0243,0.0258,0.0066,-0.007,0.0316,0.0256,0.0055,0.0,0.0,0.0
2014-08-24 07:30:00,0.3275,0.3295,0.3195,0.2942,0.2758,0.2758,0.2614,0.238,0.2325,0.2239,0.2229,0.2119,0.1907,0.1602,0.1243,0.1153,0.1168,0.0979,0.0739,0.0655,0.0595,0.0243,0.0258,0.0066,-0.007,0.0316,0.0256,0.0055,0.0,0.0,0.0
2014-08-25 07:30:00,0.3275,0.3295,0.3195,0.2942,0.2758,0.2758,0.2614,0.238,0.2325,0.2239,0.2229,0.2119,0.1907,0.1602,0.1243,0.1153,0.1168,0.0979,0.0739,0.0655,0.0595,0.0243,0.0258,0.0066,-0.007,0.0316,0.0256,0.0055,0.0,0.0,0.0
2014-08-26 07:30:00,0.3275,0.3295,0.3195,0.2942,0.2758,0.2758,0.2614,0.238,0.2325,0.2239,0.2229,0.2119,0.1907,0.1602,0.1243,0.1153,0.1168,0.0979,0.0739,0.0655,0.0595,0.0243,0.0258,0.0066,-0.007,0.0316,0.0256,0.0055,0.0,0.0,0.0
2014-08-27 07:30:00,0.3275,0.3295,0.3195,0.2942,0.2758,0.2758,0.2614,0.238,0.2325,0.2239,0.2229,0.2119,0.1907,0.1602,0.1243,0.1153,0.1168,0.0979,0.0739,0.0655,0.0595,0.0243,0.0258,0.0066,-0.007,0.0316,0.0256,0.0055,0.0,0.0,0.0
2014-08-28 07:30:00,0.3275,0.3295,0.3195,0.2942,0.2758,0.2758,0.2614,0.238,0.2325,0.2239,0.2229,0.2119,0.1907,0.1602,0.1243,0.1153,0.1168,0.0979,0.0739,0.0655,0.0595,0.0243,0.0258,0.0066,-0.007,0.0316,0.0256,0.0055,0.0,0.0,0.0
2014-08-29 07:30:00,0.3275,0.3295,0.3195,0.2942,0.2758,0.2758,0.2614,0.238,0.2325,0.2239,0.2229,0.2119,0.1907,0.1602,0.1243,0.1153,0.1168,0.0979,0.0739,0.0655,0.0595,0.0243,0.0258,0.0066,-0.007,0.0316,0.0256,0.0055,0.0,0.0,0.0
2014-08-30 07:30:00,0.3275,0.3295,0.3195,0.2942,0.2758,0.2758,0.2614,0.238,0.2325,0.2239,0.2229,0.2119,0.1907,0.1602,0.1243,0.1153,0.1168,0.0979,0.0739,0.0655,0.0595,0.0243,0.0258,0.0066,-0.007,0.0316,0.0256,0.0055,0.0,0.0,0.0
2014-08-31 07:30:00,0.3275,0.3295,0.3195,0.2942,0.2758,0.2758,0.2614,0.238,0.2325,0.2239,0.2229,0.2119,0.1907,0.1602,0.1243,0.1153,0.1168,0.0979,0.0739,0.0655,0.0595,0.0243,0.0258,0.0066,-0.007,0.0316,0.0256,0.0055,0.0,0.0,0.0
2014-09-01 07:30:00,0.3275,0.3295,0.3195,0.2942,0.2758,0.2758,0.2614,0.238,0.2325,0.2239,0.2229,0.2119,0.1907,0.1602,0.1243,0.1153,0.1168,0.0979,0.0739,0.0655,0.0595,0.0243,0.0258,0.0066,-0.007,0.0316,0.0256,0.0055,0.0,0.0,0.0
2014-09-02 07:30:00,0.3275,0.3295,0.3195,0.2942,0.2758,0.2758,0.2614,0.238,0.2325,0.2239,0.2229,0.2119,0.1907,0.1602,0.1243,0.1153,0.1168,0.0979,0.0739,0.0655,0.0595,0.0243,0.0258,0.0066,-0.007,0.0316,0.0256,0.0055,0.0,0.0,0.0
2014-09-03 07:30:00,0.3288,0.3308,0.3207,0.2953,0.2769,0.2769,0.2625,0.2391,0.2336,0.225,0.2239,0.2129,0.1917,0.1611,0.1252,0.1162,0.1177,0.0988,0.0748,0.0664,0.0604,0.0255,0.027,0.0078,-0.0058,0.0329,0.0269,0.0055,0.0,0.0,0.0
2014-09-04 07:30:00,0.3293,0.3313,0.3212,0.2958,0.2774,0.2774,0.263,0.2396,0.234,0.2254,0.2241,0.2131,0.1919,0.1614,0.1256,0.1165,0.118,0.0991,0.0751,0.0667,0.0607,0.0255,0.027,0.0078,-0.0058,0.0329,0.0269,0.0055,0.0,0.0,0.0
2014-09-05 07:30:00,0.3296,0.3316,0.3211,0.2956,0.2772,0.2772,0.2628,0.2394,0.2336,0.225,0.2239,0.2129,0.1917,0.1612,0.1254,0.1164,0.1179,0.099,0.075,0.0666,0.0606,0.0254,0.0269,0.0077,-0.0059,0.0329,0.0269,0.0055,0.0,0.0,0.0
2014-09-06 07:30:00,0.3298,0.3318,0.3213,0.296,0.2776,0.2776,0.2632,0.2398,0.2338,0.2252,0.2239,0.2129,0.1917,0.1612,0.1254,0.1162,0.1177,0.0988,0.0748,0.0664,0.0604,0.0253,0.0268,0.0076,-0.006,0.0329,0.0269,0.0055,0.0,0.0,0.0
