blct,4,0,0.5,0
blct,5,0,0.52083333333333337,0
blct,8,0,0.27083333333333331,0
blct,12,13.4375,4.291666666666667,24.895833333333332
blct,13,0.64583333333333337,0,1.9375
gamt,2,0,0,1.75
gamt,6,0.33333333333333331,0,0
gamt,12,0,0,1.3333333333333333
gamt,17,1.9583333333333333,1.2083333333333333,5.916666666666667
humb,1,0.33333333333333331,0,0
humb,9,0,0,1.2916666666666667
humb,16,0.3125,0.5,0
lipt,14,0.375,0,0
mamb,3,0,0,1.1041666666666667
mamb,10,0,0.27083333333333331,0
mamb,14,0.3125,0.375,0
mamt,4,0.5,0.5,1.5833333333333333
mamt,11,0,0.47916666666666669,0
mamt,14,0.5,0,1.5625
mamt,20,1.0208333333333333,0.5,0
mamt,22,0.35416666666666669,0,0
mamt,23,9.4375,0.58333333333333337,0
plab,1,0.27083333333333331,0,0
plat,1,0.33333333333333331,0,0
plat,12,0.45833333333333331,0.33333333333333331,1.1666666666666667
plat,30,0.45833333333333331,0.3125,1.4583333333333333
plat,38,0.33333333333333331,0,0
sinb,2,0,0.41666666666666669,1.21875
sinb,3,0,0.5,2.40625
sinb,4,0,0.75,0
sinb,29,0.39583333333333331,0,0
sinu,1,0.47916666666666669,0,1.4791666666666667
